area, area_freq
1,9294
2,4808
3,4006
4,3226
5,2756
6,2377
7,2043
8,1839
9,1615
10,1435
11,1332
12,1277
13,1096
14,1075
15,1051
16,936
17,889
18,836
19,736
20,737
21,688
22,674
23,632
24,578
25,594
26,534
27,488
28,531
29,451
30,488
31,438
32,404
33,399
34,392
35,408
36,377
37,350
38,332
39,302
40,345
41,336
42,308
43,328
44,281
45,283
46,295
47,283
48,216
49,241
50,235
51,247
52,240
53,205
54,220
55,221
56,203
57,227
58,184
59,183
60,198
61,180
62,171
63,159
64,182
65,147
66,176
67,157
68,145
69,141
70,155
71,139
72,124
73,144
74,130
75,135
76,137
77,108
78,126
79,116
80,93
81,103
82,95
83,102
84,104
85,105
86,99
87,95
88,96
89,97
90,90
91,95
92,93
93,93
94,92
95,88
96,87
97,75
98,76
99,75
100,66
101,71
102,85
103,76
104,72
105,63
106,64
107,72
108,74
109,69
110,62
111,55
112,62
113,69
114,56
115,51
116,51
117,65
118,58
119,46
120,62
121,53
122,33
123,42
124,46
125,48
126,42
127,48
128,50
129,42
130,52
131,39
132,32
133,38
134,27
135,42
136,41
137,30
138,39
139,30
140,31
141,29
142,29
143,30
144,34
145,25
146,22
147,29
148,23
149,25
150,34
151,33
152,26
153,31
154,27
155,26
156,21
157,29
158,25
159,30
160,20
161,22
162,18
163,23
164,25
165,19
166,20
167,19
168,17
169,22
170,19
171,16
172,23
173,20
174,17
175,11
176,23
177,21
178,13
179,9
180,26
181,16
182,16
183,20
184,13
185,14
186,16
187,16
188,19
189,11
190,15
191,14
192,14
193,14
194,28
195,10
196,16
197,14
198,13
199,5
200,11
201,8
202,8
203,10
204,9
205,6
206,7
207,5
208,13
209,5
210,8
211,7
212,9
213,5
214,13
215,8
216,6
217,7
218,6
219,8
220,7
221,4
222,5
223,9
224,6
225,9
226,10
227,10
228,5
229,7
230,8
231,10
232,7
233,10
234,6
235,5
236,7
237,7
238,9
239,5
240,3
241,7
242,4
243,4
244,9
245,5
246,7
247,4
248,3
249,5
250,6
251,4
252,3
253,1
254,6
255,4
256,5
257,4
258,5
259,3
260,5
261,3
262,1
263,4
264,2
265,1
266,3
267,1
268,2
269,5
270,3
271,3
272,5
273,1
274,1
275,1
276,4
277,3
278,1
280,1
281,4
282,2
283,1
284,1
285,3
286,5
287,3
289,3
290,2
292,3
293,1
294,1
295,3
297,2
298,3
299,3
300,2
301,2
302,2
303,1
304,3
305,4
307,1
308,1
309,1
310,3
311,2
313,2
314,1
315,2
316,2
317,1
318,1
319,1
320,2
321,1
322,1
324,1
326,1
328,3
330,1
331,2
333,2
334,3
337,1
338,3
339,1
343,1
345,2
346,1
347,1
348,2
351,1
352,3
353,1
354,1
355,2
356,2
365,2
366,1
371,1
375,1
376,1
380,1
382,1
383,2
387,1
388,2
392,1
393,1
394,2
395,1
404,1
408,1
409,1
424,1
425,1
434,1
438,1
441,1
443,1
444,1
446,1
450,1
458,1
461,1
467,1
468,1
483,1
499,1
522,1
524,1
525,1
